dataset,table,column,type,description
dt_dv360_1072057,Activity_1072057,Event_Type,STRING,
dt_dv360_1072057,Activity_1072057,Event_Sub_Type,STRING,
dt_dv360_1072057,Activity_1072057,DV360_Auction_ID,STRING,
dt_dv360_1072057,Activity_1072057,Event_Time,INTEGER,
dt_dv360_1072057,Activity_1072057,DV360_Request_Time,INTEGER,
dt_dv360_1072057,Activity_1072057,DV360_Advertiser_ID,STRING,
dt_dv360_1072057,Activity_1072057,DV360_Insertion_Order_ID,INTEGER,
dt_dv360_1072057,Activity_1072057,DV360_Line_Item_ID,INTEGER,
dt_dv360_1072057,Activity_1072057,DV360_Creative_ID,STRING,
dt_dv360_1072057,Activity_1072057,Activity_ID,STRING,
dt_dv360_1072057,Activity_1072057,DV360_Bid_Price_USD,INTEGER,
dt_dv360_1072057,Activity_1072057,DV360_Bid_Price_Partner_Currency,INTEGER,
dt_dv360_1072057,Activity_1072057,DV360_Bid_Price_Advertiser_Currency,INTEGER,
dt_dv360_1072057,Activity_1072057,DV360_URL,STRING,
dt_dv360_1072057,Activity_1072057,DV360_Site_ID,STRING,
dt_dv360_1072057,Activity_1072057,DV360_Language,STRING,
dt_dv360_1072057,Activity_1072057,DV360_Adx_Page_Categories,STRING,
dt_dv360_1072057,Activity_1072057,DV360_Matching_Targeted_Keywords,STRING,
dt_dv360_1072057,Activity_1072057,DV360_Exchange_ID,STRING,
dt_dv360_1072057,Activity_1072057,DV360_Attributed_Inventory_Source_External_ID,STRING,
dt_dv360_1072057,Activity_1072057,DV360_Attributed_Inventory_Source_Is_Public,BOOLEAN,
dt_dv360_1072057,Activity_1072057,DV360_Ad_Position,INTEGER,
dt_dv360_1072057,Activity_1072057,DV360_Country_Code,STRING,
dt_dv360_1072057,Activity_1072057,DV360_Designated_Market_Area_DMA_ID,STRING,
dt_dv360_1072057,Activity_1072057,DV360_ZIP_Postal_Code,STRING,
dt_dv360_1072057,Activity_1072057,DV360_State_Region_ID,STRING,
dt_dv360_1072057,Activity_1072057,DV360_City_ID,STRING,
dt_dv360_1072057,Activity_1072057,DV360_Operating_System_ID,STRING,
dt_dv360_1072057,Activity_1072057,DV360_Browser_Platform_ID,STRING,
dt_dv360_1072057,Activity_1072057,DV360_Browser_Timezone_Offset_Minutes,INTEGER,
dt_dv360_1072057,Activity_1072057,DV360_Net_Speed,INTEGER,
dt_dv360_1072057,Activity_1072057,User_ID,STRING,
dt_dv360_1072057,Activity_1072057,DV360_Matching_Targeted_Segments,STRING,
dt_dv360_1072057,Activity_1072057,DV360_ISP_ID,STRING,
dt_dv360_1072057,Activity_1072057,DV360_Device_Type,INTEGER,
dt_dv360_1072057,Activity_1072057,DV360_Mobile_Make_ID,STRING,
dt_dv360_1072057,Activity_1072057,DV360_Mobile_Model_ID,STRING,
dt_dv360_1072057,Activity_1072057,DV360_Media_Cost_USD,FLOAT,
